Position,D1_1,D12_1,N2_D6_1
474,3.39E+00,3.67E+00,1.99E+00
475,3.39E+00,3.67E+00,1.99E+00
476,3.39E+00,3.67E+00,1.99E+00
477,3.39E+00,3.67E+00,1.98E+00
478,3.39E+00,3.67E+00,1.98E+00
479,3.39E+00,3.67E+00,1.98E+00
480,3.39E+00,3.67E+00,1.98E+00
481,3.39E+00,3.68E+00,1.97E+00
482,3.39E+00,3.68E+00,1.97E+00
483,3.39E+00,3.68E+00,1.97E+00
484,3.39E+00,3.68E+00,1.97E+00
485,3.39E+00,3.68E+00,1.96E+00
486,3.39E+00,3.68E+00,1.96E+00
487,3.39E+00,3.68E+00,1.96E+00
488,3.39E+00,3.68E+00,1.96E+00
489,3.39E+00,3.68E+00,1.96E+00
490,3.39E+00,3.68E+00,1.95E+00
491,3.39E+00,3.68E+00,1.95E+00
492,3.39E+00,3.68E+00,1.95E+00
493,3.39E+00,3.68E+00,1.95E+00
494,3.39E+00,3.68E+00,1.94E+00
495,3.39E+00,3.68E+00,1.94E+00
496,3.39E+00,3.68E+00,1.94E+00
497,3.39E+00,3.68E+00,1.93E+00
498,3.39E+00,3.68E+00,1.93E+00
499,3.39E+00,3.68E+00,1.93E+00
500,3.39E+00,3.68E+00,1.93E+00
501,3.39E+00,3.69E+00,1.93E+00
502,3.39E+00,3.69E+00,1.92E+00
503,3.39E+00,3.69E+00,1.92E+00
504,3.39E+00,3.69E+00,1.92E+00
505,3.39E+00,3.69E+00,1.92E+00
506,3.39E+00,3.69E+00,1.91E+00
507,3.39E+00,3.69E+00,1.91E+00
508,3.39E+00,3.69E+00,1.91E+00
509,3.39E+00,3.69E+00,1.91E+00
510,3.39E+00,3.69E+00,1.90E+00
511,3.39E+00,3.70E+00,1.90E+00
512,3.39E+00,3.69E+00,1.90E+00
513,3.39E+00,3.70E+00,1.90E+00
514,3.39E+00,3.70E+00,1.89E+00
515,3.39E+00,3.70E+00,1.89E+00
516,3.39E+00,3.70E+00,1.89E+00
517,3.39E+00,3.70E+00,1.89E+00
518,3.39E+00,3.70E+00,1.89E+00
519,3.39E+00,3.70E+00,1.88E+00
520,3.39E+00,3.70E+00,1.88E+00
521,3.39E+00,3.71E+00,1.88E+00
522,3.39E+00,3.71E+00,1.88E+00
523,3.39E+00,3.71E+00,1.88E+00
524,3.39E+00,3.71E+00,1.88E+00
525,3.39E+00,3.71E+00,1.87E+00
526,3.38E+00,3.71E+00,1.87E+00
527,3.38E+00,3.71E+00,1.87E+00
528,3.38E+00,3.71E+00,1.87E+00
529,3.38E+00,3.71E+00,1.87E+00
530,3.38E+00,3.71E+00,1.87E+00
531,3.38E+00,3.71E+00,1.87E+00
532,3.38E+00,3.72E+00,1.86E+00
533,3.38E+00,3.71E+00,1.86E+00
534,3.38E+00,3.71E+00,1.86E+00
535,3.38E+00,3.72E+00,1.86E+00
536,3.38E+00,3.72E+00,1.86E+00
