ORF,GFP_R12,rank_GFP,abs,rank_abs
YKL189W,0.044675,1751,0.044675,3387
YKR075C,0.044647,1752,0.044647,3388
YPR020W,-0.044615,3737,0.044615,3389
YGR067C,0.044611,1753,0.044611,3390
YNL232W,0.044609,1754,0.044609,3391
YGR173W,0.044593,1755,0.044593,3392
YDR055W,-0.044575,3736,0.044575,3393
YKL179C,-0.044516,3735,0.044516,3394
YLR239C,-0.04448,3734,0.04448,3395
YIL079C,0.044477,1756,0.044477,3396
YMR137C,-0.044414,3733,0.044414,3397
YCL033C,0.044369,1757,0.044369,3398
YMR313C,-0.044338,3732,0.044338,3399
YOR316C,-0.044319,3731,0.044319,3400
YBR001C,0.044266,1758,0.044266,3401
YGR008C,0.044237,1759,0.044237,3402
YMR315W,0.044225,1760,0.044225,3403
YOR017W,-0.04422,3730,0.04422,3404
YKR003W,0.044218,1761,0.044218,3405
YLL013C,-0.044208,3729,0.044208,3406
YPL203W,0.044195,1762,0.044195,3407
YKR002W,0.044189,1763,0.044189,3408
YKL068W,0.044155,1764,0.044155,3409
YBR056W-A,-0.044117,3728,0.044117,3410
YGL216W,0.044094,1765,0.044094,3411
YJL078C,0.044083,1766,0.044083,3412
YOR174W,0.04408,1767,0.04408,3413
YDR305C,0.044076,1768,0.044076,3414
YOR326W,0.044054,1769,0.044054,3415
YPR032W,0.044044,1770,0.044044,3416
YCR061W,0.043988,1771,0.043988,3417
YPL048W,-0.043977,3727,0.043977,3418
YLR122C,0.043908,1772,0.043908,3419
YER038W-A,0.043899,1773,0.043899,3420
YKR043C,-0.043871,3726,0.043871,3421
YOR375C,-0.043841,3725,0.043841,3422
YLR304C,0.043833,1774,0.043833,3423
YER147C,-0.043784,3724,0.043784,3424
YLR402W,-0.043718,3723,0.043718,3425
YCR087W,0.043712,1775,0.043712,3426
YHR192W,-0.043642,3722,0.043642,3427
YNL212W,0.043628,1776,0.043628,3428
YMR049C,-0.043537,3721,0.043537,3429
YLR194C,-0.043535,3720,0.043535,3430
YEL047C,-0.04352,3719,0.04352,3431
YNR052C,0.043479,1777,0.043479,3432
YJR154W,0.043469,1778,0.043469,3433
YOR092W,0.043452,1779,0.043452,3434
YER065C,0.043396,1780,0.043396,3435
YMR226C,0.043393,1781,0.043393,3436
YNL322C,-0.043363,3718,0.043363,3437
YGL149W,0.043338,1782,0.043338,3438
YNL144C,-0.043291,3717,0.043291,3439
YBR106W,-0.043264,3716,0.043264,3440
YOR285W,-0.043225,3715,0.043225,3441
