H15N14.2a,WBGene00003818
F35D11.11b,WBGene00018051
F40F8.11a.1,WBGene00044916
T10F2.1a,WBGene00001744
T10F2.4,WBGene00020423
F45E1.6,WBGene00001945
C05D11.12.1,WBGene00002855
H24K24.3b,WBGene00019240
Y56A3A.20,WBGene00000369
ZK520.4a,WBGene00000837
Y108G3AL.1a.1,WBGene00000838
B0001.4a,WBGene00007089
C01B10.8.1,WBGene00015282
C01G5.5,WBGene00015307
C01G6.3.1,WBGene00007225
C01G6.6a.1,WBGene00006510
C04C11.2.1,WBGene00007296
C04C11.1a.1,WBGene00007295
W01B6.9,WBGene00003576
C06G3.9.1,WBGene00015555
C06H2.1.1,WBGene00007385
C07G1.5.1,WBGene00004101
C08B6.9,WBGene00000142
C09H10.3,WBGene00003831
C09H10.6,WBGene00007500
C12D8.10b.1,WBGene00000102
C14B1.4.1,WBGene00006474
C14B1.1.1,WBGene00003962
C14F11.1a.1,WBGene00015778
C16A3.4.1,WBGene00015809
C16A3.10.1,WBGene00015814
C18A11.7a,WBGene00001000
C18B2.4,WBGene00015955
C23G10.4b.1,WBGene00004459
C25A8.4,WBGene00016084
C26D10.1,WBGene00004304
C26D10.2a,WBGene00001840
C30B5.4,WBGene00016245
C33H5.9,WBGene00016376
C36A4.4,WBGene00007965
C39D10.7.1,WBGene00016534
C39E9.13,WBGene00004339
C42D4.1.1,WBGene00016594
C44B7.5,WBGene00016627
C44B7.10.1,WBGene00016630
C47E12.1.1,WBGene00005663
C47E8.7.1,WBGene00006836
C47E8.5.1,WBGene00000915
C52E4.4.1,WBGene00004501
C54C6.2,WBGene00000248
C54D1.5,WBGene00016913
Y38C9A.2a.1,WBGene00000480
D1005.3.1,WBGene00016997
D1054.10,WBGene00008377
D1054.11,WBGene00008378
D2045.2.1,WBGene00008422
D2096.8,WBGene00017075
T21E12.4a.1,WBGene00000962
E04F6.5a.1,WBGene00017125
E04F6.8,WBGene00017127
F01F1.5.1,WBGene00001057
F07A11.2a.1,WBGene00008546
F07A11.3,WBGene00003791
F09E5.3,WBGene00017283
F10G7.3,WBGene00006817
F10G7.2,WBGene00006626
F10G7.1.1,WBGene00006497
F12F6.7.1,WBGene00008722
F12F6.6,WBGene00004755
F18A1.5,WBGene00017546
F18E2.2,WBGene00006512
F18E2.3,WBGene00004738
F18H3.3a.1,WBGene00003903
F19B6.2a.1,WBGene00006733
F20D12.4.1,WBGene00017643
F21C10.7,WBGene00017657
F21D5.1,WBGene00009006
F21D5.5,WBGene00009010
F22B3.4.1,WBGene00009035
F22B5.9,WBGene00001498
F22D6.3a,WBGene00003815
F22D6.6,WBGene00009052
F23B12.5.1,WBGene00009082
F25D1.1a,WBGene00006460
F25E2.4,WBGene00002058
F26F4.1.1,WBGene00017825
F26F4.10a.1,WBGene00004679
F28B4.3.1,WBGene00017892
F28C6.6.1,WBGene00006307
F28C6.7a,WBGene00004440
F29F11.1,WBGene00005022
F35D11.4.1,WBGene00018045
F35G12.12,WBGene00009445
F35G12.8.1,WBGene00004874
F37C12.7,WBGene00018152
F38E11.5,WBGene00009542
F40F4.6b,WBGene00018237
F40F4.2.1,WBGene00002254
F41C3.3.1,WBGene00018269
F42A10.1.1,WBGene00018339
F43D9.4,WBGene00004798
F46B6.7.1,WBGene00009772
F49C12.8,WBGene00004463
F52B10.1,WBGene00003776
F52B5.3,WBGene00009922
F52D10.3a.1,WBGene00001502
F52E1.7a.1,WBGene00002021
F54B3.3.1,WBGene00010015
F54D5.7.1,WBGene00010052
F54D8.3a.1,WBGene00000107
F54F7.3,WBGene00010065
F55C5.4,WBGene00010093
F55G1.4.1,WBGene00018900
F56F3.1,WBGene00004132
F57B9.2a,WBGene00002845
F58B3.5a,WBGene00003415
F59A2.1b.1,WBGene00003795
F59G1.3.1,WBGene00006933
M6.1b,WBGene00002056
K04D7.1.1,WBGene00010556
K04D7.3a,WBGene00001794
K04G2.1.1,WBGene00010560
K07C5.4,WBGene00010627
K07E3.4a,WBGene00019492
K08E4.1.1,WBGene00005015
K08F4.2,WBGene00010677
K10B3.10b,WBGene00004951
K11G12.1a,WBGene00003530
M02D8.4a,WBGene00019730
M03A8.1,WBGene00000991
M110.4a,WBGene00002066
M28.5,WBGene00010896
M88.5c,WBGene00010908
R01H10.1,WBGene00001002
R01H2.6,WBGene00006713
R05D11.8,WBGene00011036
R07E5.2,WBGene00011110
R08C7.10b,WBGene00019953
R10E4.4.1,WBGene00003157
R11A8.7f,WBGene00011240
R11A8.6.1,WBGene00002152
R11D1.8.1,WBGene00004442
R12B2.4,WBGene00001869
R12H7.2,WBGene00000217
R74.7,WBGene00011281
F42A6.7d.1,WBGene00001999
Y51H4A.3a,WBGene00004357
T01C3.7.1,WBGene00001423
T01C3.6.1,WBGene00004485
T02G5.9b,WBGene00002238
T02G5.8.1,WBGene00002183
T04A8.7a,WBGene00011409
T04A8.8,WBGene00011410
T05A10.3,WBGene00011460
T05H10.1,WBGene00011507
T06D8.8.1,WBGene00004465
T06E4.1.1,WBGene00001830
T07C4.5,WBGene00011561
T07C4.3a,WBGene00011560
T07D4.4a,WBGene00011580
T08A9.1,WBGene00020334
T08G2.3.1,WBGene00020366
T08H10.1,WBGene00020369
T12G3.1a.1,WBGene00011737
T13H5.4,WBGene00011758
T14G11.3,WBGene00020511
T20B5.1.1,WBGene00000161
T20H4.3a.1,WBGene00004189
T21B10.3,WBGene00011885
T24B8.1a.1,WBGene00004446
T24H10.3,WBGene00001041
T25G12.5,WBGene00020812
C37C3.2a.1,WBGene00016496
T22B7.7,WBGene00020674
ZK742.1a.1,WBGene00002078
W05H9.1a,WBGene00021048
ZC395.10.1,WBGene00022599
ZC434.5.1,WBGene00001337
ZK1058.1,WBGene00014202
ZK1127.4,WBGene00022851
ZK20.3.1,WBGene00013924
ZK328.2.1,WBGene00001166
ZK418.9a,WBGene00022738
ZK455.1.1,WBGene00000040
ZK546.2c,WBGene00022759
ZK829.4.1,WBGene00014095
ZK863.3,WBGene00014123
ZK863.4.1,WBGene00014124
K12D12.1,WBGene00010785
Y50E8A.4a,WBGene00006795
C12D8.11.1,WBGene00004405
F44A2.1b,WBGene00006499
B0035.5,WBGene00007108
C29A12.3a,WBGene00002985
C47E12.5a.1,WBGene00006699
T21B10.2c.1,WBGene00011884
ZC434.8.1,WBGene00013894
ZK1058.2,WBGene00003930
C08A9.10,WBGene00044773
F20D12.1a,WBGene00017641
Y92H12A.5b,WBGene00022361
JC8.14,WBGene00044737
R151.7a.1,WBGene00020110
ZK381.4b,WBGene00003992
Y40B10A.1a,WBGene00021486
Y45F3A.3a.1,WBGene00012860
C41G11.1a,WBGene00016568
ZC8.4a.1,WBGene00022500
F21H11.2a,WBGene00004728
C09B8.6a,WBGene00002023
K06G5.1a.1,WBGene00010605
R07G3.3b,WBGene00019940
DC2.3b,WBGene00017080
Y54E10A.11.1,WBGene00021831
Y47G6A.15,WBGene00021641
W01A8.1c.1,WBGene00007024
Y37E3.17b,WBGene00021355
D2063.3a,WBGene00017062
T13C2.6b,WBGene00020481
Y106G6H.2a.1,WBGene00003902
Y57G11C.43,WBGene00013332
T01E8.8,WBGene00011335
C18E3.7a,WBGene00004093
Y65B4BR.5b,WBGene00022042
Y44E3A.6b.1,WBGene00021551
F28F5.3c,WBGene00017904
F09F7.4a.1,WBGene00017301
T17H7.4d.1,WBGene00003936
C27H6.4b,WBGene00007786
T05H4.13c.1,WBGene00000110
F44E7.4a,WBGene00018426
Y54G11A.13a,WBGene00013220
H06H21.6a.1,WBGene00019163
C01G10.8.1,WBGene00007235
C37E2.1.1,WBGene00007993
D2005.5,WBGene00008400
F10G8.6,WBGene00008664
F20D1.3,WBGene00008975
F25H2.11,WBGene00009122
F27D4.4a,WBGene00009189
F43G9.1.1,WBGene00009664
R07H5.8,WBGene00011128
T08G11.1a,WBGene00011629
T08G11.4a.1,WBGene00011631
F38A5.13,WBGene00001029
F45E4.2,WBGene00004046
K08F11.3.1,WBGene00019543
F25H2.9,WBGene00003926
Y67H2A.6b,WBGene00000818
Y67H2A.5.1,WBGene00013463
F01F1.7,WBGene00017162
C18A3.5a,WBGene00015943
Y71G12B.1a,WBGene00022141
Y39G10AR.2a,WBGene00021460
Y39G10AR.14a.1,WBGene00003156
Y39G10AR.8,WBGene00021466
Y39G10AR.10,WBGene00021468
Y65B4BR.4a,WBGene00007009
R13A5.8,WBGene00004420
M04F3.1.1,WBGene00019767
F28A10.6,WBGene00017874
C30F8.2.1,WBGene00016258
C07H6.5,WBGene00000479
ZK892.1f,WBGene00002266
T17E9.2b,WBGene00020549
Y74C10AR.1a,WBGene00001232
Y58A7A.4,WBGene00021978
Y24D9A.4a,WBGene00004419
E01A2.2a,WBGene00017085
T08B2.7a,WBGene00020347
Y37E3.10a,WBGene00021351
Y48G8AL.5a,WBGene00021686
Y71H2AM.13,WBGene00022178
Y65B4A.6a,WBGene00022029
Y34D9A.10,WBGene00021334
Y32G9A.8a.1,WBGene00021305
F48E3.4,WBGene00018605
Y59A8B.10a.1,WBGene00013347
Y59A8A.3,WBGene00013340
F14F9.4,WBGene00017467
C23G10.8,WBGene00016015
F22F7.1a,WBGene00017719
T22D1.10.1,WBGene00020687
T22D1.4,WBGene00020683
T22D1.9,WBGene00004458
Y65B4BL.5c,WBGene00022037
Y65B4BL.2a,WBGene00022034
Y55F3BR.6b,WBGene00021943
Y55F3AR.3a,WBGene00021934
Y55F3AM.15,WBGene00000816
Y55F3AM.13,WBGene00021930
Y55F3AM.12,WBGene00021929
Y55F3AM.4a,WBGene00021922
Y47G6A.8.1,WBGene00000794
Y47G6A.11,WBGene00003422
Y39A3CL.1,WBGene00021440
Y38C1AA.2,WBGene00000815
Y34D9A.6,WBGene00021331
Y71F9AL.17.1,WBGene00022119
Y71F9AL.9,WBGene00022114
Y71F9AL.12,WBGene00022117
F59D8.1,WBGene00006927
ZK973.6,WBGene00000140
ZK616.4.1,WBGene00022774
Y110A7A.8,WBGene00022458
Y110A7A.16,WBGene00022463
Y110A7A.14.1,WBGene00003924
W08E12.7.1,WBGene00021088
W06H8.1b,WBGene00004373
H27M09.1,WBGene00019245
F55A3.3,WBGene00018849
T22F3.3a,WBGene00020696
C53D5.6,WBGene00002077
Y53F4B.22a.1,WBGene00013168
W02A11.4,WBGene00006700
K07A12.7,WBGene00010624
Y111B2A.3,WBGene00013729
F58D5.1a.1,WBGene00002000
F23C8.5a.1,WBGene00017734
Y25C1A.5.1,WBGene00021292
Y55H10A.1,WBGene00021952
M57.2a.1,WBGene00019778
H34C03.2b,WBGene00019259
C29F9.7,WBGene00003931
T10B5.5a.1,WBGene00020391
Y87G2A.6.1,WBGene00000891
Y87G2A.5.1,WBGene00006936
Y79H2A.6,WBGene00000201
Y79H2A.1a,WBGene00000273
Y62E10A.1.1,WBGene00004410
Y56A3A.29a,WBGene00013241
Y48B6A.12.1,WBGene00012983
Y47D3A.26b,WBGene00004873
Y46G5A.10,WBGene00012901
Y46G5A.31,WBGene00001793
Y46G5A.12,WBGene00012903
Y46G5A.4,WBGene00012896
Y41E3.10b,WBGene00012768
Y116A8C.34a.1,WBGene00000889
Y113G7B.17.1,WBGene00013766
Y113G7A.3,WBGene00004754
Y105C5B.28a,WBGene00001604
W09C5.6a,WBGene00004445
H15N14.1c,WBGene00000079
C46C2.5,WBGene00008113
C14A4.14,WBGene00007564
W04B5.3a,WBGene00021020
F46E10.10a,WBGene00018491
H19M22.2b,WBGene00002915
B0250.5,WBGene00007122
Y49E10.19,WBGene00013038
Y49E10.1,WBGene00004506
W02A2.2,WBGene00001390
T05F1.2,WBGene00011489
T05E12.3,WBGene00011486
K08E3.5b,WBGene00010665
K08E3.6.1,WBGene00000875
F29C12.4.1,WBGene00009246
C04F12.4.1,WBGene00004426
C25D7.8.1,WBGene00007718
C25D7.6,WBGene00003155
NA,WBGene00045383
Y18D10A.20,WBGene00003989
W06D4.4,WBGene00012298
Y49A3A.2.1,WBGene00013025
Y54G9A.6,WBGene00013209
Y54E2A.11a.1,WBGene00001225
Y40B1B.6.1,WBGene00005010
Y40B1B.5,WBGene00012738
Y62H9A.5,WBGene00013393
Y62H9A.6,WBGene00013394
Y62H9A.4.1,WBGene00013392
Y37D8A.2,WBGene00012544
Y17G7B.5a.1,WBGene00003154
