AH6.5,WBGene00003231
T21B10.1,WBGene00011883
T21C9.3b,WBGene00011891
T21G5.5d,WBGene00006423
T22B7.7,WBGene00020674
T22D1.3a,WBGene00020682
T22F3.3a,WBGene00020696
T23B12.7,WBGene00001040
T23D8.4.1,WBGene00001226
T23E7.2a,WBGene00020732
T23F2.2b,WBGene00020735
T23G11.2,WBGene00001647
T23G5.1.1,WBGene00004391
T23G7.4,WBGene00004752
T23G7.5a,WBGene00011967
T24B1.1,WBGene00011975
T24B8.4a,WBGene00011978
T24G10.2,WBGene00020779
T24H7.5b,WBGene00020784
T26A5.6,WBGene00020822
T28B4.1c.1,WBGene00020884
T28D6.5f,WBGene00012125
T28D9.10a,WBGene00004916
T28F3.1a,WBGene00012128
W01A11.5.1,WBGene00020911
W01A11.6,WBGene00003385
W01A8.1c.1,WBGene00007024
W01G7.5,WBGene00002275
W02A11.2.1,WBGene00012193
W02A2.7,WBGene00003230
W02D7.7,WBGene00004766
W03D8.8,WBGene00020989
W03G1.7a,WBGene00000213
W04E12.6,WBGene00012251
W05E7.3,WBGene00001702
W05F2.4a,WBGene00021036
W06A7.3f,WBGene00004336
W06E11.1,WBGene00021061
W06H3.1,WBGene00012315
W06H3.2a,WBGene00004248
W07B8.5,WBGene00000785
W07E6.1a,WBGene00021073
W07G4.3.1,WBGene00012337
W08E12.7.1,WBGene00021088
W08E3.2,WBGene00012343
W08F4.6,WBGene00021095
W09C5.5,WBGene00012352
W09C5.7a,WBGene00012353
W09H1.3,WBGene00012373
W10C8.5.1,WBGene00021128
Y102A5A.1,WBGene00013606
Y105E8A.9,WBGene00000158
Y106G6H.14,WBGene00013724
Y106G6H.15.1,WBGene00013725
Y106G6H.2a.1,WBGene00003902
Y110A2AL.8c.1,WBGene00004210
Y110A7A.12,WBGene00004959
Y110A7A.14.1,WBGene00003924
Y111B2A.17.1,WBGene00013738
Y113G7B.16,WBGene00013765
Y119D3B.14,WBGene00022491
Y17G7B.3,WBGene00012459
Y17G7B.4,WBGene00012460
Y17G7B.5a.1,WBGene00003154
Y18D10A.1,WBGene00012474
Y18D10A.13.1,WBGene00003905
Y18D10A.17,WBGene00012484
Y22D7AL.9,WBGene00021247
Y25C1A.5.1,WBGene00021292
Y32H12A.2b.1,WBGene00021311
Y37D8A.1,WBGene00000203
Y37D8A.13,WBGene00006804
Y37D8A.2,WBGene00012544
Y37E11C.1a.1,WBGene00006769
Y37E3.11i,WBGene00021352
Y37E3.15a,WBGene00003799
Y37E3.16.1,WBGene00021354
Y37E3.4.1,WBGene00021348
Y38E10A.6b,WBGene00012584
Y38F2AR.1a,WBGene00021419
Y38F2AR.7.1,WBGene00021425
Y39A1A.12.1,WBGene00012650
Y39A1C.2,WBGene00003898
Y39E4A.3b,WBGene00012713
Y39G10AR.11.1,WBGene00021469
Y39G10AR.13a.1,WBGene00002047
Y39G10AR.18a,WBGene00021474
Y39G10AR.6,WBGene00021464
Y39G10AR.7b,WBGene00021465
Y40B1B.6.1,WBGene00005010
Y41C4A.13,WBGene00012759
Y41D4B.4a,WBGene00021512
Y41E3.3a,WBGene00012763
Y41E3.4a,WBGene00001336
Y43C5A.5a,WBGene00006568
Y45F10D.7.1,WBGene00012887
Y47D3B.9,WBGene00012943
Y47D7A.5,WBGene00001714
Y47G6A.10,WBGene00004978
Y47G6A.12.1,WBGene00004775
Y47G6A.19a,WBGene00021645
Y47G6A.6,WBGene00021636
Y48A6B.11b,WBGene00012972
Y48A6B.13f,WBGene00012973
Y48B6A.1,WBGene00012978
Y48B6A.12.1,WBGene00012983
Y48E1B.7,WBGene00013006
Y48E1C.2.1,WBGene00013015
Y48G10A.1.1,WBGene00013018
Y48G1C.10a.1,WBGene00021683
Y48G8AL.5a,WBGene00021686
Y48G8AL.6.1,WBGene00004880
Y48G9A.3,WBGene00021697
Y49A3A.1,WBGene00013024
Y49A3A.3,WBGene00013026
Y49E10.11c.1,WBGene00013034
Y49E10.19,WBGene00013038
Y49E10.3a,WBGene00004086
Y54E10A.12,WBGene00021832
Y54E10A.2,WBGene00003258
Y54E10A.6,WBGene00021828
Y54E10BL.4,WBGene00001046
Y54E10BR.1a,WBGene00021840
Y54F10AM.4a,WBGene00000464
Y54F10AM.8,WBGene00021852
Y54G11A.10a,WBGene00002996
Y54G2A.2a,WBGene00021868
Y55F3AM.11,WBGene00021928
Y55F3AM.15,WBGene00000816
Y55F3AR.1.1,WBGene00021932
Y55F3AR.2,WBGene00021933
Y56A3A.17a,WBGene00003802
Y57A10A.29.1,WBGene00013269
Y57G11C.12b.1,WBGene00013308
Y57G11C.13,WBGene00000192
Y57G11C.15a,WBGene00013311
Y57G11C.9b,WBGene00013307
Y62H9A.3,WBGene00013391
Y65B4A.2c,WBGene00022026
Y65B4BR.4a,WBGene00007009
Y66D12A.15.1,WBGene00013441
Y66H1B.2l.1,WBGene00022048
Y67D2.6,WBGene00022056
Y67D8C.5h,WBGene00022069
Y67H2A.1,WBGene00013460
Y67H2A.4d,WBGene00013462
Y69A2AR.16a,WBGene00022087
Y70G10A.3.1,WBGene00013499
Y71F9AL.13a.1,WBGene00004412
Y71F9AL.14.1,WBGene00022118
Y71F9AL.16,WBGene00000199
Y71F9AM.4a,WBGene00022121
Y71F9B.16a,WBGene00001048
Y71G12B.12a,WBGene00022152
Y71H2AM.17,WBGene00022182
Y71H2AM.19b,WBGene00002244
Y71H2AM.3,WBGene00022168
Y73B6BL.30a,WBGene00022251
Y74C10AR.3a,WBGene00022281
Y75B12B.2.1,WBGene00000883
Y77E11A.10,WBGene00000546
Y77E11A.13a,WBGene00003806
Y80D3A.1,WBGene00006945
Y80D3A.2a,WBGene00001258
Y87G2A.1,WBGene00013593
Y87G2A.3b,WBGene00013595
Y87G2A.5.1,WBGene00006936
Y8G1A.2,WBGene00002135
Y92H12A.2a,WBGene00022358
Y92H12BL.4,WBGene00022365
Y92H12BM.1.1,WBGene00022367
Y94H6A.5a,WBGene00022378
Y97E10AR.5,WBGene00022400
ZC15.7,WBGene00013835
ZC168.3a,WBGene00013857
ZC308.1a,WBGene00001596
ZC373.1a,WBGene00013866
ZC376.6b,WBGene00013877
ZC416.8b,WBGene00000481
ZC434.4,WBGene00013892
ZC434.6b,WBGene00000148
ZC434.7a.1,WBGene00013893
ZK1055.7,WBGene00022848
ZK1098.4,WBGene00014221
ZK112.1.1,WBGene00003956
ZK1127.7,WBGene00022854
ZK1307.6,WBGene00001510
ZK20.3.1,WBGene00013924
ZK328.5b,WBGene00003796
ZK470.5a,WBGene00006410
ZK507.6,WBGene00000863
ZK520.4a,WBGene00000837
ZK546.17,WBGene00022766
ZK593.5b,WBGene00001017
ZK596.2,WBGene00014007
ZK632.12.1,WBGene00014019
ZK632.14,WBGene00014020
ZK632.5,WBGene00014014
ZK632.7,WBGene00014015
ZK652.1,WBGene00004918
ZK652.10,WBGene00022787
ZK675.1.1,WBGene00004208
ZK686.2,WBGene00022792
ZK742.3,WBGene00022813
ZK856.1,WBGene00000840
ZK856.8,WBGene00014109
ZK856.9,WBGene00006489
ZK858.1,WBGene00014115
ZK863.4.1,WBGene00014124
ZK970.1b,WBGene00014171
