AH6.5,WBGene00003231
K03A11.6,WBGene00045497
K03B4.4a,WBGene00019355
K03H1.2.1,WBGene00003389
K04C2.2.1,WBGene00019380
K04C2.6,WBGene00003181
K04C2.7.1,WBGene00044311
K04F10.4d.1,WBGene00000254
K04G11.4,WBGene00010572
K04G11.5c,WBGene00002151
K04G7.3a.1,WBGene00003858
K05B2.5b,WBGene00003986
K05C4.6b,WBGene00001979
K06A4.4,WBGene00010594
K06A5.4,WBGene00019432
K06B9.5a,WBGene00003938
K06C4.9,WBGene00019445
K07A1.10.1,WBGene00010616
K07A1.11,WBGene00004312
K07A1.13,WBGene00010617
K07A1.15,WBGene00010619
K07A1.16a,WBGene00000177
K07A12.1,WBGene00010620
K07A12.2,WBGene00010621
K07B1.3,WBGene00006729
K07C5.3,WBGene00010626
K07C6.9,WBGene00005957
K07H8.1,WBGene00019503
K07H8.2a.1,WBGene00019504
K07H8.3,WBGene00000923
K07H8.5,WBGene00019506
K07H8.6c,WBGene00006930
K08A2.5a.1,WBGene00003678
K08B4.3,WBGene00019515
K08D10.18,WBGene00235369
K08D10.7.1,WBGene00019530
K08D12.1,WBGene00003947
K08D9.4a,WBGene00019525
K08E3.1,WBGene00010661
K08E3.4,WBGene00010664
K08E5.3a,WBGene00003482
K08F4.1.1,WBGene00010676
K08F4.11,WBGene00001751
K08G2.9,WBGene00005503
K08H10.1k,WBGene00002263
K09E9.4,WBGene00044143
K09E9.7.1,WBGene00194664
K09F5.1,WBGene00019582
K09F5.2,WBGene00006925
K09H9.9,WBGene00219460
K10B2.1b.1,WBGene00003009
K10B2.2a.1,WBGene00019605
K10B3.6d,WBGene00019612
K10C2.2,WBGene00019618
K10C2.5,WBGene00001715
K10H10.10a,WBGene00010765
K10H10.6,WBGene00010762
K11D12.12,WBGene00019651
K11D2.1b,WBGene00010768
K11D9.1a,WBGene00002219
K11D9.2a,WBGene00004736
K11H12.1,WBGene00019658
K11H12.10,WBGene00044458
K11H12.8a.1,WBGene00019664
K11H3.3,WBGene00010780
K12B6.9,WBGene00023432
K12C11.4a,WBGene00003400
K12C11.5,WBGene00044896
K12C11.6,WBGene00045052
K12H4.2,WBGene00019677
K12H4.3,WBGene00019678
LLC1.1a,WBGene00006606
LLC1.2a,WBGene00010793
M01A10.2i,WBGene00006594
M01B12.4c,WBGene00019697
M01E11.3,WBGene00019712
M01E5.6,WBGene00010808
M01F1.1,WBGene00001639
M01F1.7,WBGene00010813
M01H9.1,WBGene00019717
M02F4.1,WBGene00019735
M03C11.3b,WBGene00010840
M03E7.4,WBGene00019756
M04D8.6,WBGene00010864
M04D8.7,WBGene00010865
M05D6.7,WBGene00001523
M110.2,WBGene00006658
M116.5,WBGene00019792
M117.1a,WBGene00010918
M163.11,WBGene00044147
M163.2,WBGene00010936
M18.5.1,WBGene00010890
M199.136,WBGene00255546
M28.1,WBGene00010893
M28.4,WBGene00010895
M60.6,WBGene00019781
M88.3,WBGene00010906
PAR2.4a.1,WBGene00003253
R01H2.4a,WBGene00019812
R03E9.4,WBGene00002149
R04E5.8a.1,WBGene00019871
R05D11.5,WBGene00011033
R05D11.6,WBGene00011034
R05D8.8,WBGene00000977
R05F9.1b.1,WBGene00019888
R05G6.6,WBGene00001624
R05H10.3a,WBGene00011044
R05H5.1,WBGene00005080
R06A4.2,WBGene00011047
R06B9.3.1,WBGene00011054
R06C1.3a,WBGene00006958
R06C1.6,WBGene00011060
R06C7.1.1,WBGene00011061
R06C7.2,WBGene00011062
R06C7.3.1,WBGene00000963
R06C7.5a.1,WBGene00011064
R06C7.9a.1,WBGene00011066
R07A4.4,WBGene00011075
R07E5.1,WBGene00011109
R07E5.10a.1,WBGene00011116
R07E5.15,WBGene00011120
R07H5.3a.1,WBGene00011123
R07H5.4,WBGene00011124
R08B4.2,WBGene00044330
R08C7.13,WBGene00019956
R09A8.5,WBGene00011154
R09B5.6,WBGene00019978
R09E12.1,WBGene00019981
R09F10.6,WBGene00005237
R102.3,WBGene00011290
R10D12.11,WBGene00011192
R10E11.1b,WBGene00000366
R10E4.2q,WBGene00006331
R119.2,WBGene00020088
R119.3,WBGene00020089
R119.6,WBGene00006385
R11A5.1a,WBGene00000163
R11A5.2,WBGene00011230
R11A5.3,WBGene00011231
R11A8.5,WBGene00011239
R11D1.6,WBGene00006225
R11E3.7a.1,WBGene00001060
R12B2.3,WBGene00020019
R12E2.2,WBGene00020031
R12G8.2,WBGene00006688
R12H7.1a,WBGene00006749
R13A5.5.1,WBGene00000437
R13A5.6,WBGene00020049
R144.6,WBGene00020096
R144.7b.1,WBGene00020097
R151.1a,WBGene00020106
R151.2d.1,WBGene00020107
R186.5,WBGene00004793
R53.3a,WBGene00001207
R57.1a,WBGene00020082
R74.5a.1,WBGene00011279
T01C3.10a,WBGene00003775
T01C3.4,WBGene00011321
T01C3.5,WBGene00011322
T01G1.3.1,WBGene00011338
T01G9.4.1,WBGene00003788
T01H3.3,WBGene00011349
T01H3.4,WBGene00011350
T02E1.2,WBGene00011375
T02G5.7,WBGene00020166
T02G6.5c,WBGene00011388
T03E6.5,WBGene00005475
T03E6.6,WBGene00005820
T03F1.12,WBGene00020193
T04A8.4b,WBGene00044078
T04A8.5,WBGene00011407
T04A8.6,WBGene00011408
T04C10.1,WBGene00003149
T04C12.2a,WBGene00005296
T04C12.33,WBGene00271444
T04C12.4.1,WBGene00000065
T04C12.5.1,WBGene00000064
T04G9.3,WBGene00002071
T04H1.9,WBGene00006539
T05B4.8,WBGene00020239
T05C12.6a,WBGene00003241
T05D4.4a,WBGene00003887
T05D4.5,WBGene00011478
T05E11.2b,WBGene00011479
T05E11.3a.1,WBGene00011480
T05E7.3.1,WBGene00020259
T05F1.11,WBGene00011495
T05G11.6,WBGene00005802
T05G5.1a,WBGene00011498
T05G5.4,WBGene00011499
T05G5.5d,WBGene00011500
T05H10.2.1,WBGene00000151
T05H10.5b,WBGene00006734
T05H4.10,WBGene00020273
T06A10.1a,WBGene00020284
T06C12.8b,WBGene00011515
T06D8.5,WBGene00011526
T06D8.6.1,WBGene00011527
T06E6.13,WBGene00011542
T06E6.15,WBGene00044759
T06G6.6a,WBGene00011548
T07A5.3,WBGene00011556
